Date,SiteName,WaterBody,County,Town,SamplingNotes,Subsite,Sample,Datum,Easting,Northing,BDS_PA,SurveyMethod,PointGroup
8/24/2021,HIGHLK-02,Highland Lake,Cumberland,Bridgton,"Water up to waist deep, but forgot meter stick",A,3,NAD-83,358452,4884518,0,Seine,
9/20/2021,HIGHLK-03,Highland Lake,Cumberland,Bridgton,Outlet below dam,NA,7,NAD-83,362833,4879486,0,Seine,
9/20/2021,HIGHLK-03,Highland Lake,Cumberland,Bridgton,Outlet below dam,NA,8,WGS-84,362817,4879477,0,Seine,
9/20/2021,HIGHLK-04,Highland Lake,Cumberland,Bridgton,Northeastern inlet,A,4,NAD-83,359876,4884769,1,Seine,
9/20/2021,HIGHLK-04,Highland Lake,Cumberland,Bridgton,Northeastern inlet,B,5,WGS-84,359764,4884797,1,Seine,
9/20/2021,HIGHLK-04,Highland Lake,Cumberland,Bridgton,Northeastern inlet,B,6,NAD-83,359760,4884784,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,A,1,NAD-83,382389,4860682,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,A,2,WGS-84,382387,4860695,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,A,3,WGS-84,382392,4860707,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,A,4,WGS-84,382397,4860720,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,B,5,NAD-83,382448,4860659,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,B,6,NAD-83,382462,4860652,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,B,7,WGS-84,382448,4860659,0,Seine,
8/17/2021,JORDAN,Jordan River,Cumberland,Raymond,Scale not working. Subsite A: big impoundment by peninsula.  Subsite B: eDNA replicates 1 and 2. Seine #5: released many newly hatched fish of unknown sp.,B,8,WGS-84,382459,4860690,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",A,1,NAD-83,369746,4840525,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",A,2,NAD-83,369746,4840525,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",B,3,NAD-83,369708,4840557,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",B,4,NAD-83,369708,4840557,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",C,5,NAD-83,369683,4840567,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",C,6,NAD-83,369683,4840567,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",C,7,NAD-83,369683,4840567,0,Seine,
8/18/2021,JOSIES,Josie's Brook,Cumberland,Standish,"Started below culvert, then moved upstream and around bend",C,8,NAD-83,369683,4840567,0,Seine,
10/11/2021,KIMBAL,Kimball Brook,Oxford,Fryeburg,Downstream to upstream: started at culvert,NA,1,NAD-83,341723,4887249,0,Seine,
10/11/2021,KIMBAL,Kimball Brook,Oxford,Fryeburg,Downstream to upstream: started at culvert,NA,2,WGS-84,341706,4887238,0,Seine,
10/11/2021,KIMBAL,Kimball Brook,Oxford,Fryeburg,Downstream to upstream: started at culvert,NA,3,WGS-84,341683,4887233,0,Seine,
10/11/2021,KIMBAL,Kimball Brook,Oxford,Fryeburg,Downstream to upstream: started at culvert,NA,4,WGS-84,341676,4887235,0,Seine,
10/11/2021,KIMBAL,Kimball Brook,Oxford,Fryeburg,Downstream to upstream: started at culvert,NA,5,WGS-84,341665,4887226,1,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",A,1,WGS-84,350401,4803869,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",A,2,WGS-84,350407,4803863,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,3,NAD-83,350530,4803723,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,4,NAD-83,350580,4803723,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,5,WGS-84,350496,4803785,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,6,WGS-84,350492,4803793,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,7,WGS-84,350459,4803807,0,Seine,
10/12/2021,LITTLR,Little River,York,North Berwick,"Sampled upstream of culvert, then moved downstream sampling eDNA water collection areas and directly below culvert.",B,8,WGS-84,350444,4803807,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,1,WGS-84,551553,4902252,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,2,WGS-84,551547,4902260,0,Seine,
